store_name,address,city,zipcode,store_type,latitude,longitude
SOCAL FOOD GROUP LP DEL TACO 1307,1155 B Street,San Diego,92101,Restaurant Meals Program,3857901.23156281,-13041548.1146831
Cork & Barrel,7995 Civita Blvd,San Diego,92108,Convenience Store,3865703.44943824,-13040892.4428824
Jack in The Box #3029,260 S Melrose Dr,Vista,92083,Restaurant Meals Program,3920860.33487168,-13052564.2914921
Jack in The Box #75,550 W Mission Ave,Escondido,92025,Restaurant Meals Program,3912342.99368264,-13034769.8708887
Metro Market,525 C St,San Diego,92101,Convenience Store,3857744.31102407,-13042141.4475691
7-eleven 21785,260 E Mission Ave,Escondido,92025,Convenience Store,3912747.63010179,-13033710.1093364
7-Eleven 13586,913 Otay Lakes Rd,Chula Vista,91913,Convenience Store,3847857.8916212,-13023676.8836312
Taco Bell # 41866,2030 Dairy Mart Rd,San Ysidro,92173,Restaurant Meals Program,3837175.07285184,-13031377.9660043
SOCAL FOOD GROUP LP DEL TACO 1310,3106 Sports Arena Blvd,San Diego,92110,Restaurant Meals Program,3862454.82085668,-13047218.7295442
7-Eleven 13647G,8300 Parkway Dr,La Mesa,91942,Convenience Store,3865940.31399114,-13026385.2868422
Grocery Outlet Of Poway Ca 241,13345 Poway Rd,Poway,92064,Supermarket,3889362.60329112,-13029082.5581041
U. S. Shell,3520 Sweetwater Springs Blvd,Spring Valley,91977,Convenience Store,3861235.42625635,-13021373.6833667
7-Eleven 26651,10195 Riverford Rd,Lakeside,92040,Convenience Store,3876902.86253996,-13018501.6405042
Stadium Market,2677 Mission Village Dr,San Diego,92123,Convenience Store,3868043.5729563,-13038116.134782
Mohsen Oil,3213 Mission Ave,Oceanside,92058,Convenience Store,3923678.52324422,-13063077.3042026
J & J Market #2,5061 Brooks Huffman Plz,San Diego,92113,Convenience Store,3856057.6131358,-13033903.8052504
B&s Caribbean Food Market Multi Services,4459 University Ave,San Diego,92105,Grocery Store,3862087.12297866,-13035329.8079274
Barons Market 10,1347 Tavern Rd,Alpine,91901,Super Store,3873720.43404472,-12999533.9124679
Sunshine Market,9500 Gilman Dr,La Jolla,92093,Convenience Store,3878983.95845993,-13050711.9351653
I.b. Market & Liquor,710 Seacoast Dr,Imperial Beach,91932,Convenience Store,3840040.76132079,-13039102.4254704
Walmart 5075,3405 MARRON RD,OCEANSIDE,92056,Super Store,3918829.23535446,-13057522.461612
EL PICADOR FOODS,3702 Del Sol Blvd,San Diego,92154,Grocery Store,3838803.59818131,-13030553.0885775
Whole Foods Market 10072,711 University Ave,San Diego,92103,Super Store,3861949.33849857,-13041991.1662565
MINNEHAHA FOOD MARKET INC.,4990 University Ave,San Diego,92105,Grocery Store,3862098.2411049,-13034101.953944
ERNIE'S LIQUOR INC.,1223 3rd Ave,Chula Vista,91911,Convenience Store,3843588.76100797,-13031884.4696874
VONS 2348,2606 Del Mar Heights Rd,Del Mar,92014,Supermarket,3888860.60592735,-13051816.2245139
SMART & FINAL 360,395 N Escondido Blvd,Escondido,92025,Super Store,3911555.56144516,-13034138.6893759
SMART & FINAL 464,2804 Midway Dr,San Diego,92110,Super Store,3862022.53216695,-13047060.6558672
VIVA MARKET #2,1632 E Valley Pkwy,Escondido,92027,Grocery Store,3913234.96709461,-13030934.9144309
Worldwide Exotics,8156 La Mesa Blvd,La Mesa,91942,Convenience Store,3864043.41279115,-13026735.9432382
RITE AID  5647,4840 Niagara Ave,San Diego,92107,Other,3861454.59827562,-13052143.5038169
FOOD 4 LESS 349,9430 Cuyamaca St,Santee,92071,Super Store,3875226.66999045,-13022548.1039946
MURPHY'S MARKET,3596 Fairmount Ave,San Diego,92105,Super Store,3861345.54115781,-13035624.804578
Walmart 2253,13487 Camino Canada,El Cajon,92021,Super Store,3871902.68743625,-13013464.4335458
SMART & FINAL 368,5195 Clairemont Mesa Blvd,San Diego,92117,Super Store,3873225.19909327,-13044376.7429442
VONS 2049,330 W El Norte Pkwy,Escondido,92026,Supermarket,3914275.64461234,-13035004.7550143
BROADWAY LIQUOR,151 Broadway,Chula Vista,91910,Convenience Store,3847994.58635734,-13034851.134117
Trader Joe's 26,1090 University Ave # G100-107,San Diego,92103,Supermarket,3862150.7876291,-13041500.2473021
Imperial Beach Commissary 1616,1500 13th St,Imperial Beach,91932,Supermarket,3838246.81784889,-13036133.534651
RALPH'S GROCERY  123,101 G St,San Diego,92101,Super Store,3857209.26207461,-13042580.0463628
Circle K 2728545,1161 E Valley Pkwy,Escondido,92025,Convenience Store,3912612.70542652,-13031876.677323
JULIAN MARKET & DELI,2202 MAIN STREET,JULIAN,92036,Grocery Store,3905759.38699726,-12980139.8307819
Walmart 2177,3382 Murphy Canyon Rd,San Diego,92123,Super Store,3869481.40448677,-13037335.7851515
LOGAN MARKET & LIQUOR,270 16th St,San Diego,92101,Convenience Store,3856638.51701092,-13041044.9505848
PALM SPRINGS MARKET,4301 Palm Ave,La Mesa,91941,Convenience Store,3863129.36053112,-13026001.234599
RALPHS GROCERY 159,3011 Alta View Dr,San Diego,92139,Super Store,3852379.30695744,-13028702.9586405
SAMS MARKET,7587 University Ave,La Mesa,91942,Convenience Store,3863492.45781593,-13028118.5313138
CREAM OF THE CROP,2009 S Coast Hwy,Oceanside,92054,Grocery Store,3918074.87911102,-13064378.6290499
VONS 2071,2250 Otay Lakes Rd,Chula Vista,91915,Supermarket,3848598.23017284,-13020729.143515
Trader Joe's 21,1640 Garnet Ave,San Diego,92109,Supermarket,3868771.0087434,-13051149.4207641
TALIA LIQUOR,5837 Market St,San Diego,92114,Convenience Store,3856877.18405093,-13032390.9733705
RALPHS GROCERY  220,6670 Montezuma Rd,San Diego,92115,Super Store,3864639.80226321,-13030451.7878409
Encanto Liquor,6555 Imperial Ave,San Diego,92114,Convenience Store,3856931.16263159,-13030695.5775257
Camp Pendelton MCB Commissary 1603,20850 Vandegrift Blvd.,Camp Pendleton,92055,Supermarket,3936609.45502685,-13061849.4502191
Walmart 2291,75 N Broadway,Chula Vista,91910,Super Store,3849107.1076066,-13034824.4174392
FOOD 4 LESS 374,5975 University Ave,San Diego,92115,Super Store,3862388.11023893,-13031923.4315092
EGG MARKET & LIQUOR,2202 S Santa Fe Ave,Vista,92084,Grocery Store,3917961.17132308,-13047409.0858734
CARDIFF SEASIDE MKT,2087 San Elijo Ave,Cardiff by the Sea,92007,Super Store,3898136.30309044,-13055838.1977163
LAKE MORENA MARKET,29801 Oak Dr,Campo,91906,Convenience Store,3852828.83243025,-12969283.9540398
RITE AID  5644,535 Robinson Ave,San Diego,92103,Other,3861759.0106162,-13042210.4656534
Rolando's Market,1033 Elkelton Blvd,Spring Valley,91977,Convenience Store,3857317.2225204,-13026206.062462
VONS 2116,1702 Garnet Ave,San Diego,92109,Supermarket,3869053.49319236,-13050964.6304094
KWIK STOP MARKET,3028 Upas St,San Diego,92104,Convenience Store,3861023.93441372,-13038781.8253369
Frazier Farms Natural Grocery,225 Vista Village Dr,Vista,92083,Super Store,3921548.48837066,-13051756.1119889
RITE AID  5649,6939 Linda Vista Rd,San Diego,92111,Other,3866882.78815668,-13043378.2071118
Purple Cow Dairy,1290 Hollister St,San Diego,92154,Convenience Store,3838801.61671025,-13033745.7315734
VONS 2859,453 Santa Fe Dr,Encinitas,92024,Supermarket,3899927.17969813,-13055832.6317417
San Onofre Commissary 1628,51094 BasilOne Rd,Camp Pendleton,92055,Supermarket,3946608.34064721,-13088697.4850086
ROYAL LIQUOR OF VISTA MARKET,890 N Santa Fe Ave,Vista,92083,Convenience Store,3923373.56243891,-13051657.0376421
Awash Ethiopian Resturant And Market,2884 El Cajon Blvd,San Diego,92104,Convenience Store,3862924.32074248,-13039070.1428181
Stater Bros. Markets 163,1674 Main St,Ramona,92065,Supermarket,3899967.28105139,-13010931.9151303
Walmart SuperCenter 1700,13425 Community Rd,Poway,92064,Super Store,3889875.76657442,-13028578.2808108
FOOD 4 LESS  318,7420 Broadway,Lemon Grove,91945,Super Store,3861227.3529687,-13028588.299565
SMART & FINAL 488,770 W San Marcos Blvd,San Marcos,92069,Super Store,3913605.60143405,-13044080.6330987
Don John Market,431 N Highland Ave,National City,91950,Grocery Store,3854067.46346585,-13035746.142823
FOOD 4 LESS 347,4995 Shawline St,San Diego,92111,Super Store,3872870.94268735,-13042612.3290151
EL TORITO MARKET,422 San Diego St,Oceanside,92058,Grocery Store,3922314.37798109,-13065575.313576
Ralphs Fresh Fare 108,8657 Villa la Jolla Dr,La Jolla,92037,Super Store,3877614.80981432,-13050350.1468202
Trader Joe's 24,5495 Grossmont Center Dr,La Mesa,91942,Supermarket,3865949.84692918,-13025138.5085453
RALPH'S GROCERY 90,2417 E Valley Pkwy,Escondido,92027,Super Store,3914096.03204078,-13029189.4248153
STAR MSO 46776,978 N Cuyamaca St,El Cajon,92020,Convenience Store,3869875.42508168,-13022156.259387
El Torito Market,3163 Roosevelt St,Carlsbad,92008,Grocery Store,3916350.62958306,-13062927.02289
Stater Bros. Markets 162,13589 Poway Rd,Poway,92064,Supermarket,3889506.8121102,-13028699.6190558
FOOD 4 LESS 345,644 N Broadway,Escondido,92025,Super Store,3912327.70710214,-13033769.1086665
E Z CORNER MARKET,1107 E Main St,El Cajon,92021,Convenience Store,3868103.16458593,-13018189.94593
Gourmet Liquor,2966 S Santa Fe Ave,San Marcos,92069,Convenience Store,3916167.92673484,-13046713.339056
VONS 2093,8011 University Ave,La Mesa,91942,Supermarket,3864254.42927847,-13027177.8816166
SIN LEE FOOD,4665 El Cajon Blvd,San Diego,92115,Super Store,3862927.36520648,-13034868.9452356
VONS 2355,4145 30th St,San Diego,92104,Supermarket,3862574.87444709,-13038799.6364555
VONS 2136,8310 Mira Mesa Blvd,San Diego,92126,Supermarket,3884060.08107402,-13040515.0698086
Circle K 2722970,704 Main St,Ramona,92065,Convenience Store,3901211.42078987,-13009244.3116498
Windmill Farms,6386 Del Cerro Blvd,San Diego,92120,Grocery Store,3866550.43757794,-13031046.2339217
LA POSTA MARKET,2796 K St,San Diego,92102,Grocery Store,3856674.23738055,-13039295.0081895
SMART & FINAL 463,3141 Main St,Chula Vista,91911,Super Store,3841635.45906932,-13031717.4904512
VONS 2118,3550 Murphy Canyon Rd,San Diego,92123,Supermarket,3869858.73688314,-13037217.7864913
1st & Ivy Market,2170 1st Ave,San Diego,92101,Convenience Store,3859262.5320404,-13042629.0269387
SMART & FINAL 398,1090 Fletcher Pkwy,El Cajon,92020,Super Store,3869821.38719119,-13021496.1348066
VONS 2327,931 Lomas Santa Fe Dr,Solana Beach,92075,Supermarket,3894725.260615,-13052680.0637625
VONS 2065,6951 El Camino Real,Carlsbad,92009,Supermarket,3909039.29792137,-13054279.7248452
Little Brown Jug,4245 University Ave,San Diego,92105,Convenience Store,3862090.69666095,-13035916.4616439
Tortilleria Salsa Market,480 W Chase Ave,El Cajon,92020,Grocery Store,3866236.23587297,-13020695.7476678
RALPH'S GROCERY 19,11875 Carmel Mountain Rd,San Diego,92128,Super Store,3892776.06552312,-13032796.176317
McDonalds 623,1146 E Valley Pkwy,Escondido,92025,Restaurant Meals Program,3912619.88364582,-13031950.148187
Vien Dong IV Supermarket,5382 University Ave,San Diego,92105,Super Store,3862082.62278769,-13033296.0008306
RITE AID 5620,661 Sweetwater Rd,Spring Valley,91977,Other,3856626.34565041,-13025636.1066692
The Butcher Block Meats,2670 National Ave,San Diego,92113,Super Store,3855015.60327264,-13039571.0805267
VONS 2352,6155 El Cajon Blvd,San Diego,92115,Supermarket,3863719.61441152,-13031762.0182475
RODEO'S MEAT MARKET,356 Vista Village Dr,Vista,92083,Super Store,3921954.50869079,-13051857.4127255
Walmart 3516,1360 EASTLAKE PKWY,CHULA VISTA,91915,Super Store,3846435.38186657,-13020828.2178618
Cozines Grocery,402 Civic Center Dr,National City,91950,Convenience Store,3851617.96964413,-13036584.3785887
MINH HUONG SUPERMARKET,4029 Euclid Ave,San Diego,92105,Supermarket,3862188.6424491,-13034649.6458387
Bonita Foods,311 N Main Ave,Fallbrook,92028,Grocery Store,3946377.43431063,-13052355.0108494
Ray's Liquor Center,3041 30th St,San Diego,92104,Convenience Store,3860470.6060524,-13038772.9197777
Walmart 5140,5500 Grossmont Center Dr,La Mesa,91942,Super Store,3865892.25221267,-13025560.4094154
VONS 2079,11986 Bernardo Plaza Dr,San Diego,92128,Supermarket,3897981.23414185,-13032622.5179113
VONS 2370,3993 Governor Dr,San Diego,92122,Supermarket,3876018.28969109,-13046997.2037575
LA PRESA LIQUOR & DELI,9410 Jamacha Blvd,Spring Valley,91977,Convenience Store,3856591.02231651,-13024059.8226795
VONS 2338,665 Saturn Blvd,San Diego,92154,Supermarket,3840315.42510285,-13034413.6485182
Food Bowl Market,3035 Cedar St,San Diego,92102,Supermarket,3858502.33856581,-13038742.8635152
Whole Foods Market 10066,8825 Villa la Jolla Dr,La Jolla,92037,Super Store,3877822.49131569,-13050367.9579387
RITE AID  5668,1854 Coronado Ave,San Diego,92154,Other,3839228.96164198,-13034796.5875665
Walmart 2479,3412 COLLEGE AVE,SAN DIEGO,92115,Super Store,3861053.71244749,-13030350.4871043
CARNIVAL SUPERMARKET,3560 Ashford St,San Diego,92111,Super Store,3869912.77494508,-13042185.9753654
E. B.  JR. MARKET,3638 El Cajon Blvd,San Diego,92104,Convenience Store,3862869.78525969,-13037194.4093982
OTAY FARMS INC.,1716 Broadway,Chula Vista,91911,Super Store,3841581.5502861,-13032729.3846225
AXUM MARKET,4487 El Cajon Blvd,San Diego,92115,Other,3862836.95819751,-13035277.4877668
SMART & FINAL 355,6235 El Cajon Blvd,San Diego,92115,Super Store,3863913.0186698,-13031513.775783
Trolley Mart,1265 Industrial Blvd,Chula Vista,91911,Convenience Store,3842641.0085704,-13033834.7871661
African Caribbean Food Market,4811 El Cajon Blvd,San Diego,92115,Other,3862961.25146754,-13034499.3645261
Walmart 3494,732 CENTER DR,SAN MARCOS,92069,Super Store,3913327.22576148,-13038115.0215871
RALPHS  683,306 S Twin Oaks Valley Rd,San Marcos,92078,Super Store,3912599.01365011,-13042937.3819282
Ramona Farms Market,838 Main St,Ramona,92065,Grocery Store,3901058.83425371,-13009476.9693856
VONS 2323,7544 Girard Ave,La Jolla,92037,Supermarket,3874228.93935363,-13054738.3611472
STATER BROS. MARKETS 150,3770 Mission Ave,Oceanside,92054,Supermarket,3921550.48384876,-13066325.6069439
Village Bonsall Market,5527 Mission Rd,Bonsall,92003,Convenience Store,3933934.48929048,-13049578.702749
Seafood City Supermarket,8955 Mira Mesa Blvd,San Diego,92126,Supermarket,3883911.29804096,-13039113.5574195
VONS 2344,351 W Felicita Ave,Escondido,92025,Supermarket,3909120.89221384,-13032650.347784
Miramar MCAS Commissary 1622,2661 Moore Ave,San Diego,92145,Supermarket,3880487.82008353,-13038457.8856187
Trader Joe's 20,8657 Villa la Jolla Dr Ste 210,La Jolla,92037,Supermarket,3877614.80981432,-13050350.1468202
Walmart 2094,1800 UNIVERSITY DR,VISTA,92083,Super Store,3918237.66271688,-13048502.243273
Rincon Market no,34323 Valley Center Rd,Valley Center,92082,Convenience Store,3932687.38580156,-13018547.2814954
McDonald's 16327,1701 Oceanside Blvd,Oceanside,92054,Restaurant Meals Program,3920604.66554032,-13064583.456913
FOOD 4 LESS 346,1320 E 30th St,National City,91950,Super Store,3850338.73719107,-13033955.0122161
3RD AVE MINI MART,772 3rd Ave,Chula Vista,91910,Convenience Store,3845639.66532093,-13032570.1977507
FOOD 4 LESS  780,660 Palomar St,Chula Vista,91911,Super Store,3842816.88940772,-13033707.8829466
BI-RITE MARKET,2228 1st Ave,San Diego,92101,Convenience Store,3859345.89827388,-13042629.0269387
Tropicana Ranch Market,829 N Santa Fe Ave,Vista,92084,Grocery Store,3923338.96878562,-13051629.2077694
HOA HING MARKET,4149 University Ave,San Diego,92105,Grocery Store,3862045.29774054,-13036200.3263454
I.B. ULTRAMAR,1300 Imperial Beach Blvd,Imperial Beach,91932,Convenience Store,3839232.39631593,-13036112.3839477
Ocean View Liquor,3744 Ocean View Blvd,San Diego,92113,Convenience Store,3855744.74917383,-13037045.2412806
Chan Dong Oriental Market,600 E 8th St # 7-8,National City,91950,Grocery Store,3852574.50920982,-13035591.4087308
Trader Joe's 25,115 N El Camino Real,Encinitas,92024,Supermarket,3901643.95932694,-13053265.604284
VONS 2134,10460 Clairemont Mesa Blvd,San Diego,92124,Supermarket,3872815.83120614,-13035993.2720926
VONS 2144,262 N El Camino Real,Encinitas,92024,Supermarket,3902213.44188761,-13053444.8286642
Paradise Food Mart,7702 Paradise Valley Rd,San Diego,92139,Convenience Store,3854967.05687697,-13027624.2727747
Stars & Stripes PB,2804 Garnet Ave,San Diego,92109,Convenience Store,3869646.03064731,-13048723.7690597
A MART,1255 Imperial Ave,San Diego,92101,Convenience Store,3856313.9957901,-13041543.6619035
Fairmount Super Mercado,3086 Fairmount Ave,San Diego,92105,Grocery Store,3860655.35475417,-13035655.9740355
Mountain Market,28914 Old Highway 80,Pine Valley,91962,Grocery Store,3871559.46544352,-12971758.5863201
Trader Joe's 105,1885 S Centre City Pkwy,Escondido,92025,Supermarket,3908607.41580261,-13032712.6866989
RALPHS GROCERY 57,2652 Jamacha Rd,El Cajon,92019,Super Store,3861348.055813,-13016848.5460659
Quick Trip,596 N Mollison Ave,El Cajon,92021,Convenience Store,3869119.57937457,-13018980.3143146
ABBOTT MARKET,2074 Abbott St,San Diego,92107,Convenience Store,3862287.11849423,-13052238.125384
Walmart 1917,170 Town Center Pkwy,Santee,92071,Super Store,3874382.10471907,-13023303.963337
Krisp Beverages + Natural Foods,1036 7th Ave,San Diego,92101,Grocery Store,3857689.27025016,-13042010.0905699
O-D Market,546 Sampson St,San Diego,92113,Convenience Store,3855632.1730917,-13039612.2687383
VONS 2343,985 Tamarack Ave,Carlsbad,92008,Supermarket,3915653.07646462,-13061575.6042718
Minit Mart Market,2351 Ulric St,San Diego,92111,Convenience Store,3866989.91032166,-13043220.1334349
SUNSET MARKET & LIQUOR,985 Broadway,Chula Vista,91911,Convenience Store,3844208.30334204,-13033599.9030405
PAT'S LIQUOR,5096 Voltaire St,San Diego,92107,Convenience Store,3862553.16676137,-13051988.7697246
CARNIVAL SUPERMARKET INC.,1750 E 8th St,National City,91950,Super Store,3853019.54537468,-13034277.8387394
QUALITY MARKET & DELI,2329 Madison Ave,San Diego,92116,Convenience Store,3863617.15512537,-13039886.1146856
LA PRESA MARKET,9307 Jamacha Blvd,Spring Valley,91977,Grocery Store,3856593.00677066,-13024339.2346014
VONS 2040,5555 Balboa Ave,San Diego,92111,Supermarket,3871214.92884932,-13044305.4984701
Us Gas,2310 Roll Dr,San Diego,92154,Convenience Store,3836509.01249349,-13017446.3317315
CAMPO TRADING POST,31080 Highway 94,Campo,91906,Grocery Store,3843292.34895977,-12965951.0484854
San Diego NB Commissary 1627,2525 Callagan Hwy,San Diego,92136,Supermarket,3854343.37911087,-13038436.7349155
SQUARE BOTTLE LIQUOR,21 Naples St,Chula Vista,91911,Convenience Store,3844564.73989894,-13030802.4442369
RITE AID  5631,1331 S Mission Rd,Fallbrook,92028,Other,3946783.78987677,-13050602.8420643
STATER BROS. MARKETS 167,9909 Carmel Mountain Rd,San Diego,92129,Supermarket,3890052.35406729,-13037093.1086616
Taco Bell #41595,8389 Mira Mesa Blvd,San Diego,92126,Restaurant Meals Program,3883690.24865694,-13040249.0162256
Walmart 5338,4840 SHAWLINE ST,SAN DIEGO,92111,Super Store,3872704.68167246,-13042738.1200397
Ariana Produce,11261 Camino Ruiz,San Diego,92126,Other,3885580.77304104,-13040332.5058437
Stater Bros. Markets 157,1451 N Santa Fe Ave,Vista,92084,Supermarket,3924561.78376724,-13051637.0001337
KEILS FOOD STORES,7403 Jackson Dr,San Diego,92119,Super Store,3869240.89285091,-13029306.3102806
FOOD 4 LESS 333,7730 Hazard Center Dr,San Diego,92108,Super Store,3865122.62845708,-13041710.6411397
VONS  3044,1201 Avocado Ave,El Cajon,92020,Supermarket,3866023.59505772,-13019702.7778099
Albertsons 745,655 14th St,San Diego,92101,Supermarket,3857149.72548654,-13041288.7402696
FOOD 4 LESS 300,500 Hacienda Dr,Vista,92083,Super Store,3921018.23543503,-13052308.2566632
SMART & FINAL 347,1220 Plaza Blvd,National City,91950,Super Store,3852511.95420729,-13034749.8333804
Circle K 2725095,4360 Genesee Ave,San Diego,92117,Convenience Store,3871775.78288536,-13044903.2841357
Albertsons 750,1571 San Elijo Rd S,San Marcos,92078,Supermarket,3908274.41237186,-13046781.2439453
Walmart 2150,710 Dennery Rd,San Diego,92154,Super Store,3839881.96390629,-13028335.6043209
STUMP'S MARKET #3,3770 Voltaire St,San Diego,92107,Super Store,3861006.199976,-13049888.1709334
VONS 2115,620 Dennery Rd,San Diego,92154,Supermarket,3840088.7180301,-13028239.8695588
Seafood City Supermarket,1420 E Plaza Blvd,National City,91950,Supermarket,3852476.64317876,-13034589.5333137
RITE AID 5660,10631 Tierrasanta Blvd,San Diego,92124,Other,3871678.81707369,-13035722.7657299
Walmart 2494,2100 VISTA WAY,OCEANSIDE,92054,Super Store,3919392.90646244,-13063042.7951604
McDonald's 14033,487 College Blvd,Oceanside,92057,Restaurant Meals Program,3928052.10354554,-13056817.8092353
Ralphs Fresh Fare 167,3455 Del Mar Heights Rd,San Diego,92130,Super Store,3889050.31170715,-13050173.1488298
Bobar Liquor # 4,1459 Melrose Ave,Chula Vista,91911,Convenience Store,3843122.40763816,-13028777.5426993
Supreme Gasoline 1,196 Broadway,Chula Vista,91910,Convenience Store,3847815.45576245,-13034845.5681425
BOULEVARD LIQUOR,2105 El Cajon Blvd,San Diego,92104,Convenience Store,3862853.63645155,-13040200.0356496
RALPHS  235,659 E Palomar St,Chula Vista,91911,Super Store,3844229.44870399,-13027186.7871759
Apollo Market,2327 Reo Dr,San Diego,92139,Grocery Store,3852418.05619946,-13031615.0765197
LA PERLA TAPATIA,1910 Mission Ave,Oceanside,92058,Grocery Store,3922380.23326916,-13065052.1119692
VONS 2120,4725 Clairemont Dr,San Diego,92117,Supermarket,3872784.43367482,-13047203.1448154
Trader Joe's 22,2570 Vista Way,Oceanside,92054,Supermarket,3919659.8550771,-13061337.3805615
To Market To Market,921 Seacoast Dr,Imperial Beach,91932,Convenience Store,3839618.40717281,-13039038.9733607
VONS 4018,10016 Scripps Ranch Blvd,San Diego,92131,Supermarket,3882445.05061961,-13035560.2392734
Trader Joe's 188,2401 Truxtun Rd,San Diego,92106,Supermarket,3860355.47043124,-13048571.2613573
Walmart 5023,1200 HIGHLAND AVE,NATIONAL CITY,91950,Super Store,3852225.89823666,-13035442.2406131
Barons Market 7,11828 Rancho Bernardo Road,San Diego,92128,Super Store,3898480.70157995,-13032816.2138253
7 Eleven #32825A,5188 Bonita Rd,Bonita,91902,Convenience Store,3851802.18311915,-13026613.4917983
Campo Cafe,1247 Sheridan Rd,Campo,91906,Restaurant Meals Program,3845121.81742292,-12964644.1576635
Uncle Anthony's,700 N Coast Hwy,Oceanside,92054,Grocery Store,3921950.91670585,-13067022.4669563
RALPHS GROCERY 207,4315 Mission Blvd,San Diego,92109,Super Store,3868029.93313682,-13052663.3658389
Target Store T-0997,5500 Grossmont Ctr Dr,La Mesa,91942,Super Store,3866134.15191416,-13025466.9010431
Patron Meat Market,204 W San Marcos Blvd,San Marcos,92069,Convenience Store,3914015.46653029,-13042818.2700731
Snack And Bottle Shop ,703 E Valley Pkwy,Escondido,92025,Convenience Store,3912192.92020683,-13032582.4428947
Manila Seafood Oriental Market,2220 E Plaza Blvd,National City,91950,Supermarket,3852663.77960738,-13033582.091922
7-ELEVEN STORE 16054,1650 W San Marcos Blvd,San Marcos,92078,Convenience Store,3912764.37948067,-13047522.631754
Kaelins Market,1435 E Main St,El Cajon,92021,Supermarket,3868918.01105671,-13016550.2098306
Northgate Market 26,2909 Coronado Ave,San Diego,92154,Super Store,3839216.80818828,-13032188.3718972
Northgate Market 27,1058 3rd Ave,Chula Vista,91911,Super Store,3844253.23728134,-13032113.7878384
Northgate Market 28,606 N Escondido Blvd,Escondido,92025,Super Store,3912182.2861985,-13034061.8789273
Northgate Market 29,1150 E Vista Way,Vista,92084,Super Store,3924065.85626996,-13049663.305562
Northgate Market 30,1346 S Mission Rd,Fallbrook,92028,Super Store,3944285.88838953,-13052278.2004007
RITE AID  5632,9532 Winter Gardens Blvd,Lakeside,92040,Other,3875479.89238967,-13016714.962677
Stater Bros. Markets 156,780 Sycamore Ave,Vista,92083,Supermarket,3916874.55318786,-13048729.3350342
STATER BROS. MARKETS 152,1330 E Mission Rd,San Marcos,92069,Supermarket,3913490.47487296,-13038809.6552096
SMART & FINAL 378,720 15th St,San Diego,92101,Super Store,3857259.27304069,-13041123.9874232
VONS 2360,845 College Blvd,Oceanside,92057,Supermarket,3926975.72347329,-13056905.751633
Qwik Korner Deli,3850 University Ave,San Diego,92105,Convenience Store,3862173.55345034,-13036736.8862911
RED BIRD MARKET,2035 Highland Ave,National City,91950,Grocery Store,3851197.84671251,-13034886.7563541
Stater Bros. Markets 158,1048 N El Camino Real,Encinitas,92024,Supermarket,3904211.23282257,-13054001.4261182
7 Eleven 16852A,4919 University Ave,San Diego,92105,Convenience Store,3862062.90138281,-13034213.2734348
HUB MARKET,748 6th Ave,San Diego,92101,Convenience Store,3857308.75499877,-13042109.1649167
APPLE TREE MARKET,1556 3rd Ave,Chula Vista,91911,Supermarket,3842197.94844217,-13031569.4355284
Taco Bell #41607,13418 Camino Canada,El Cajon,92021,Restaurant Meals Program,3872142.19369979,-13013530.1120454
Taco Bell #41600,12265 Woodside Ave,Lakeside,92040,Restaurant Meals Program,3876251.25388157,-13016190.6478753
Skyline Market Inc.,1505 Skyline Dr,Lemon Grove,91945,Grocery Store,3858221.29771383,-13027216.8434384
VONS  1897,9643 Mission Gorge Rd,Santee,92071,Supermarket,3873724.93868518,-13022935.4958225
Walmart 2245,705 COLLEGE BLVD,OCEANSIDE,92057,Super Store,3927348.92472503,-13056775.5078288
RITE AID 5652,3650 Adams Ave,San Diego,92116,Other,3863929.1689294,-13036972.8836115
SKYLINE CONVENIENCE STORE,7346 Skyline Dr,San Diego,92114,Convenience Store,3856128.25671698,-13028910.0128934
La Palapa Market II,2365 Reo Dr,San Diego,92139,Grocery Store,3852347.43480926,-13031547.1716303
McDonald's 19746,2185 Vista Way,Oceanside,92054,Restaurant Meals Program,3919507.16025303,-13062256.8795554
McDonald's #3187,12510 Poway Rd,Poway,92064,Restaurant Meals Program,3889028.55508429,-13031028.4228032
99 Ranch Market 16,7330 Clairemont Mesa Blvd,San Diego,92111,Super Store,3873239.37487076,-13042281.7101275
VONS 2345,1000 W El Norte Pkwy,Escondido,92026,Supermarket,3914854.25254311,-13036288.2687432
Pavilions 2119,3850 Valley Centre Dr,San Diego,92130,Supermarket,3887047.94286697,-13050156.4509062
NOVILLOS MEAT MARKET,620 N Redondo Dr,Oceanside,92057,Grocery Store,3929193.14587735,-13057849.7409149
Linda Liquor,6950 1/2 Linda Vista Rd,San Diego,92111,Convenience Store,3867068.69671371,-13043372.6411372
Trader Joe's 23,11955 Carmel Mountain Rd,San Diego,92128,Supermarket,3892971.54107824,-13032880.77913
RALPHS GROCERY  77,5680 Mission Center Rd,San Diego,92108,Super Store,3865629.17372022,-13041548.1146831
VONS 2359,6555 Mission Gorge Rd,San Diego,92120,Supermarket,3867793.02655945,-13035232.9599704
Perkins Market,24680 Viejas Grade Rd,Descanso,91916,Convenience Store,3875822.16869558,-12981623.7195942
Walmart 5305,1150 BROADWAY,CHULA VISTA,91911,Super Store,3843231.82525444,-13033622.1669387
Von's 3327,5630 Lake Murray Blvd,La Mesa,91942,Supermarket,3866296.87760586,-13027996.079874
