store_name,address,city,zipcode,store_type,latitude,longitude
CVS Pharmacy 10743,2650 Gateway Rd,Carlsbad,92009,Other,3912275.06824771,-13052733.4971181
Manolo Farmers Market 2,303 Highland Ave,National City,91950,Super Store,3853214.75820714,-13035547.9941294
Bj Spirits Inc.,125 W San Ysidro Blvd,San Ysidro,92173,Convenience Store,3836086.78421524,-13029444.3464492
North Park Thursday Market,3000 N Park Way,San Diego,92104,Farmers and Markets,3861824.65882937,-13038853.069811
7-eleven Store 13660f 13660F,335 Jamacha Rd,El Cajon,92019,Convenience Store,3867742.04393372,-13016933.1488789
Apple Tree Market,1193 Broadway,Chula Vista,91911,Supermarket,3843260.50129459,-13033282.6424917
Dollar Tree 7389,816 Paseo del Rey,Chula Vista,91910,Other,3847228.50810246,-13027612.0276307
CVS Pharmacy 20954,402 5th Ave,San Diego,92101,Other,3856837.75867498,-13042209.3524585
7-Eleven 13591D,275 E St,Chula Vista,91910,Convenience Store,3848297.06543323,-13033283.7556867
7-eleven Store 38147a,711 4th Ave,San Diego,92101,Convenience Store,3857234.53213945,-13042306.2004154
Oceanside Plaze Venture Inc,3804 Plaza Dr,Oceanside,92056,Convenience Store,3919599.46855734,-13057003.7127849
G&M 196,920 Carlsbad Village Dr,Carlsbad,92008,Convenience Store,3916878.1436085,-13062733.326976
G&M 198,1660 Oceanside Blvd,Oceanside,92054,Convenience Store,3920445.30736977,-13064925.2077497
99 Ranch Market 39,5950 Balboa Ave,San Diego,92111,Super Store,3871492.83570371,-13044085.0858783
Fuller Liquor,3896 Rosecrans St,San Diego,92110,Convenience Store,3862794.07136691,-13046902.5821903
SOCAL FOOD GROUP LP DEL TACO 1304,2269 S El Camino Real,Oceanside,92054,Restaurant Meals Program,3919698.42812795,-13060968.9130469
Eagle Liquor,1558 N Magnolia Ave,El Cajon,92020,Convenience Store,3871388.71921158,-13020187.0175948
Orange Liquor 1,1447 3rd Ave,Chula Vista,91911,Convenience Store,3842587.09520817,-13031557.1903845
Dollar Tree 4941,2017 Mission Ave,Oceanside,92058,Other,3922482.27644093,-13064876.2271738
Jack in the Box #15,802 3rd Ave,Chula Vista,91911,Restaurant Meals Program,3845485.41882178,-13032522.3303696
ALDI 52,4251 Oceanside Blvd,Oceanside,92056,Supermarket,3922987.31682655,-13055755.8212931
SOCAL FOOD GROUP LP DEL TACO 1308,1601 Carmelo Dr,Oceanside,92054,Restaurant Meals Program,3922979.73307607,-13067643.6297149
SOCAL FOOD GROUP LP DEL TACO 1309,1970 College Blvd,Oceanside,92056,Restaurant Meals Program,3923089.76446609,-13056038.5727997
Jack in The Box #89,3808 Plaza Dr,Oceanside,92056,Restaurant Meals Program,3919585.76857548,-13056930.241921
5 Star Market & Liquor,7495 University Ave,La Mesa,91942,Convenience Store,3863236.44857834,-13028393.4904561
7-Eleven 34478,4410 Camino De La Plz,San Ysidro,92173,Convenience Store,3835122.59641644,-13028749.7128266
Golden Eagle Farm Tribal,27236 Highway 78,Ramona,92065,Farmers and Markets,3905037.75744212,-12995656.6546036
Rocket #0003 0003,102 W Mission Ave,Escondido,92025,Convenience Store,3912605.12842206,-13033932.748318
Rocket #0018 0018,303 E ESCONDIDO BLVD,ESCONDIDO,92025,Convenience Store,3911006.88922361,-13033593.2238711
Rocket #0020 0020,710 N 2nd St,El Cajon,92021,Convenience Store,3869348.96355077,-13017235.9378939
Rocket #0021 0021,1202 S Main Ave,Fallbrook,92028,Convenience Store,3944667.77731805,-13052344.9920952
Rocket #0024 0024,235 S 47th St,San Diego,92113,Convenience Store,3855892.51517884,-13034809.9459054
Rocket #0025 0025,6839 Imperial Ave,San Diego,92114,Convenience Store,3857089.13077863,-13029967.5480559
Rocket #0030 0030,485 N Melrose Dr,Vista,92083,Convenience Store,3922484.80424923,-13052684.5165421
Rocket #0036 0036,2395 Sunset Cliffs Blvd,San Diego,92107,Convenience Store,3862528.94420802,-13051134.9492303
Rocket #0042 0042,695 El Cajon Blvd,El Cajon,92020,Convenience Store,3867212.63220596,-13021523.9646793
Rocket #0045 0045,898 Broadway,El Cajon,92021,Convenience Store,3869810.79155547,-13018964.7295859
Lazy Acres 25,150 Encinitas Blvd,Encinitas,92024,Super Store,3901760.56287345,-13056611.8681773
Rocket 0017,27406 Valley Center Rd,Valley Center,92082,Convenience Store,3922984.78890917,-13028121.8708986
7-eleven Store 13576G,698 H St,Chula Vista,91910,Convenience Store,3846279.01008702,-13034755.3993549
ALDI 79094,40 N 4th Ave,Chula Vista,91910,Supermarket,3849156.95206646,-13034227.7449686
World Foods Supermarket,5245 El Cajon Blvd,San Diego,92115,Super Store,3863131.87556681,-13033623.2801336
Vons 3323,7895 Highland Village Pl,San Diego,92129,Supermarket,3890284.66818641,-13041516.9452257
La Posta Market 2,1266 Imperial Beach Blvd,Imperial Beach,91932,Other,3839237.9446375,-13036224.8166334
Ranch Farmers Market,2754 Alpine Blvd,Alpine,91901,Grocery Store,3873468.7068785,-12997026.9975353
Wing Stop #1113,1285 Broadway,Chula Vista,91911,Restaurant Meals Program,3842897.62896931,-13033112.3236708
Oceanside Shell,660 Douglas Dr,Oceanside,92058,Convenience Store,3927858.16942405,-13060244.2231619
Sakata Market,6197 University Ave,San Diego,92115,Grocery Store,3862574.47735492,-13031317.8534792
Chevron Station #2021 2021,3452 Via Mercato,Carlsbad,92009,Convenience Store,3906226.23810274,-13050377.9766929
Chevron Station #2022 2022,3272 Heritage Rd,Chula Visa,91913,Convenience Store,3844928.19201193,-13024735.5319886
Sixth Market 0130,9500 Gilman Drive,La Jolla,92093,Convenience Store,3878979.84944992,-13050711.9351653
Chevron Station 1977,3359 University Ave,San Diego,92104,Convenience Store,3861986.26616959,-13037893.4958004
7-eleven Store 13590e 14590E,1097 Broadway,Chula Vista,91911,Convenience Store,3843728.31378904,-13033396.1883724
Al's Short Stop,908 Del Dios Rd,Escondido,92029,Convenience Store,3909742.43617958,-13035473.4100706
A1 Liqour Super Seven,2250 S Escondido Blvd,Escondido,92025,Convenience Store,3907864.88166497,-13032294.1254135
Grocery Outlet Of National City 145,3446 Highland Ave,National City,91950,Super Store,3849321.95591574,-13034295.649858
ALDI 79072,1300 E Valley Pkwy,Escondido,92027,Supermarket,3912744.57267808,-13031651.8119516
ALDI 79104,333 N El Camino Real,Encinitas,92024,Supermarket,3902633.0014688,-13053531.657867
ALDI 79021,6755 Mira Mesa Blvd,San Diego,92121,Supermarket,3882994.772497,-13043617.544017
Midway Mini Market,758 N Midway Dr,Escondido,92027,Grocery Store,3914406.99885796,-13030584.2580349
Wing Stop #1086,1815 E Valley Pkwy,Escondido,92027,Restaurant Meals Program,3913301.43580132,-13030508.5607812
Target Store T-3302,3029 University Ave,San Diego,92104,Super Store,3861963.50070998,-13038733.9579559
Am Pm Balboa 42044,6130 Balboa Ave,San Diego,92111,Convenience Store,3871490.84873914,-13043937.0309556
7-eleven Store 35480B,899 3rd Ave,Chula Vista,91911,Convenience Store,3845089.56832908,-13032379.8414214
Productos Ortiz Market,1310A S Escondido Blvd,Escondido,92025,Convenience Store,3909839.85028105,-13032887.4582994
Crash Market,333 Twin Oaks Valley Rd,San Marcos,92096,Convenience Store,3912228.94298205,-13042765.9499124
